Data de Referência ; Risco de Crédito ; Emissor ; Série ; Emissão ; Código ; Vencimento ; Índice / Correção ; Taxa Compra ; Taxa Venda ; Taxa Indicativa ; Desvio Padrão ; PU ; % PU Par / % VNE ; Duration ; Referência NTNB ; % Reune 
04/02/2026;RAÍZEN ENERGIA S.A.;TRUE SECURITIZADORA S/A;1ª;6ª;CRA019003V2;16/07/2029;100% do DI;131,36;;130,7077;4,25;932,3602275;92,52;524,69;;
04/02/2026;SÃO MARTINHO S.A.;VIRGO COMPANHIA DE SECURITIZACAO;3ª;198ª;CRA024004H7;12/04/2029;100% do DI;100,8057;96,935;98,838;0,45;1048,31367317;100,36;652,14;;
04/02/2026;CYRELA BRAZIL REALTY S.A.;COMPANHIA PROVÍNCIA DE SECURITIZAÇÃO;3ª;57ª;24D2765715;15/04/2031;101% do DI;102,34;98,2066;100,0175;0,73;1048,22147212;100,42;880,52;;
04/02/2026;ENGELHART CTP ;OPEA SECURITIZADORA S/A;1ª;87ª;CRA023007VD;05/07/2028;101% do DI;97,7666;94,732;97,1693;1;1022,18559875;100,97;532,54;;
04/02/2026;ITAÚ UNIBANCO HOLDING S.A.;OPEA SECURITIZADORA S/A;2ª;251ª;24B0011603;15/02/2039;102% do DI;106,9833;;101,75;0,75;1071,84064499;100,19;1545,33;;
04/02/2026;CURY CONSTRUTORA E INCORPORADORA S.A.;TRUE SECURITIZADORA S/A;1ª;309ª;24D3313768;31/05/2027;102% do DI;101,4666;97,65;99,7583;0,5;1029,62604248;100,33;302,71;;
04/02/2026;ENGELHART CTP ;OPEA SECURITIZADORA S/A;1ª;83ª;CRA023003UX;15/03/2027;102% do DI;97,5;93,754;96,2781;0,73;1064,70404569;100,71;250,08;;
04/02/2026;BRF S.A;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;403ª;CRA02500669;16/07/2029;102% do DI;100,8;96,4666;98,0093;1,95;1092,54258539;101,67;859;;
04/02/2026;NORSA REFRIGERANTES S.A.;VIRGO COMPANHIA DE SECURITIZACAO;2ª;182ª;CRA02300Q2X;05/11/2026;102,9% do DI;;;;;;;;;
04/02/2026;IGUATEMI EMPRESA DE SHOPPING CENTERS S.A.;OPEA SECURITIZADORA S/A;2ª;298ª;24F1126524;15/06/2032;103% do DI;;97,8533;100,2544;0,25;1034,67280692;101,43;1052,19;;
04/02/2026;DIRECIONAL ENGENHARIA S.A.;TRUE SECURITIZADORA S/A;1ª;331ª;24F1277566;16/07/2029;103% do DI;103,1742;;100,5387;1,54;1016,58548367;100,85;716,86;;
04/02/2026;ENGELHART CTP ;VERT COMPANHIA SECURITIZADORA;1ª;83ª;CRA02300209;15/01/2027;103% do DI;97,01;92,5433;95,1018;3,24;1017,04398304;100,9;226,83;;
04/02/2026;MOURA DUBEUX ENGENHARIA S.A.;VERT COMPANHIA SECURITIZADORA;1ª;158ª;25G5313879;15/07/2030;103,75% do DI;105,77;103,0;103,0017;0;1011,15096311;100,31;848,12;;
04/02/2026;BANCO BTG PACTUAL S.A.;OPEA SECURITIZADORA S/A;1ª;63ª;22J0346710;15/01/2027;104% do DI;98,0666;93,95;96,5;3,56;1016,68573237;100,86;226,75;;
04/02/2026;CAMIL ALIMENTOS S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;329ª;CRA0240066A;15/06/2029;104% do DI;103,5025;99,994;101,544;1,24;1028,6599085;100,82;693,63;;
04/02/2026;CEREAL COMÉRCIO EXPORTAÇÃO E REPRESENTAÇÃO AGROPECUÁRIA S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;406ª;CRA025007KD;16/09/2030;104% do DI;106,7666;103,6875;104,3635;0,95;1053,76703575;99,85;855,89;;
04/02/2026;PACAEMBU;VIRGO COMPANHIA DE SECURITIZACAO;1ª;287ª;25F2573710;27/06/2030;104,5% do DI;103,2733;;100,4994;0,01;1029,98561094;101,53;780,95;;
04/02/2026;MINERVA S.A.;VIRGO COMPANHIA DE SECURITIZACAO;1ª;264ª;CRA025002S1;15/04/2030;104,5% do DI;105,1066;;101,4045;0,88;1058,04898237;101,22;805;;
04/02/2026;MINERVA S.A.;VIRGO COMPANHIA DE SECURITIZACAO;1ª;272ª;CRA025005V5;15/07/2030;104,5% do DI;106,6833;101,3875;102,8024;1,93;1015,40203101;100,72;869,98;;
04/02/2026;IGUATEMI S.A.;OPEA SECURITIZADORA S/A;2ª;189ª;23J0019602;16/10/2028;105% do DI;101,39;97,35;99,2489;0,84;1061,88843446;101,56;565,47;;
